"","Limit_Outdoor_Active","Limit_Exercise_Home","Limit_Exercise_Gym","Limit_People","Limit_Groups","Limit_Travel","Health_General","COVID_Worry","COVID_Too_Much_Time","COVID_Lot_Time","COVID_Afraid","COVID_Irritable","COVID_Guilty","COVID_Sad","COVID_Preoccupied","COVID_Stressed","Hrs_Screen","Hrs_Outdoor","Hrs_Exercise","Educ_Mom","Educ_Dad","Educ_Self","Income_Relative","Class_Self","Class_Mom","Class_Dad","Park_Use","Infected_Any","Female","BMI","Educ_College_Grad","ResponseId","Age","Source","GIS_ZIP","Ethnoracial_Group","COVID_F2_LostTime","COVID_F1_BadMoods","Type","Classification","Classification_High","Ethnoracial_Group_f","NHWhite_f","Ethnoracial_Group_White1_Asian2","Age_3Groups","Age_18to25","Source_NCSU","Class_Self_group","Class_Mom_group","Class_Dad_group","Income_Relative_group","Educ_Mom_group","Educ_Dad_group","Health_General_group","BMI_group","Hrs_Outdoor_group","Hrs_Screen_group","Hrs_Exercise_group"
"1513",4,4,1,5,5,5,3,3,3,3,68.45,62.68,17.89,98.45,30.42,64.65,10.3,0.6,0,5,5,5,3,3,3,3,1,0,1,27.4636330522661,1,"R_22W7YqV9udmLnAS","18 to 24","NCState",7424,"NHAsian",-0.650388695397843,0.261881868960182,"1","Med",0,"NHAsian","0","2","18 to 24","1","1",2,2,2,2,2,2,2,3,1,2,1
"1514",5,5,5,5,5,5,1,7,7,7,100,100,0,100,100,100,12,0,0,6,3,3,5,4,4,4,1,1,0,24.9980091071293,0,"R_3irLHFUN3uMq6Bm","18 to 24","NCState",27606,"NHWhite",1.68923174058806,1.56226592068445,"3","High",1,"NHWhite","1","1","18 to 24","1","1",3,3,3,3,2,1,1,2,1,2,1
"1515",5,2,5,5,5,5,4,5,3,2,65.07,70.28,19.58,92.82,82.54,51.27,10.9,0.7,1,1,2,7,1,3,3,3,1,0,0,25.8270247152739,1,"R_BrFcw6vIu7YRRkd","25 to 32","NCState",NA,"NHAsian",-0.440586406534558,0.539829208030386,"1","Med",0,"NHAsian","0","2","25 to 32","0","1",2,2,2,1,1,1,2,3,1,2,3
"1516",4,4,5,4,3,5,4,5,3,4,22.51,19.65,23.64,44.17,40.17,4.13,6.1,1.1,0,4,4,5,2,2,2,2,1,0,0,20.9485867135,1,"R_1gMFqBH3QxzJxbz","25 to 32","NCState",34744,"Hisp",-0.0589372887729399,-1.17054762508256,"1","Med",0,"Hisp","0","0","25 to 32","0","1",1,1,1,1,1,1,2,2,2,1,1
"1517",1,1,5,5,5,4,4,5,1,3,19.3,10,0,0,100,60.56,10,1.5,0.5,3,5,3,5,4,3,3,5,0,1,38.2735790323651,0,"R_2Xj25TH3oEl5tBt","45 to 54","NCState",27540,"NHWhite",-0.637296100140987,-0.712126832247351,"1","Med",0,"NHWhite","1","1","Over 32","0","1",3,2,2,3,1,2,2,4,2,2,1
"1518",4,3,5,4,5,4,4,5,5,5,29.72,75.77,0,60,70.7,60.7,7,1.5,0.5,2,5,3,4,3,4,4,3,0,0,22.0469303395354,0,"R_12o0BMAMzXEjkd5","18 to 24","NCState",54115,"NHWhite",0.519421522595107,0.0581313931809163,"3","High",1,"NHWhite","1","1","18 to 24","1","1",2,3,3,3,1,2,2,2,2,1,1
"1519",2,2,5,4,5,4,4,5,5,5,27.74,80,27.74,82.58,52.9,81.61,5,9,8,5,5,5,3,2,2,2,1,0,0,28.7961470692948,1,"R_cT6u1nOrDUVN2BH","18 to 24","NCState",28715,"NHWhite",0.519421522595107,0.266161920701553,"3","High",1,"NHWhite","1","1","18 to 24","1","1",1,1,1,2,2,2,2,3,3,1,3
"1520",5,3,1,3,5,5,4,4,2,2,12.03,28.81,48.47,92.46,87.97,38.64,9,0.1,1.2,5,5,6,3,3,3,3,1,0,1,21.3051213981216,0,"R_2rSdZ5xDBaBHpNP","18 to 24","NCState",27606,"NHAsian",-0.834666956650224,-0.202196589371274,"1","Med",0,"NHAsian","0","2","18 to 24","1","1",2,2,2,2,2,2,2,2,1,2,3
"1521",5,1,5,5,5,5,5,6,6,4,68.23,48.93,0,80.01,49.38,49.27,10,0,0,3,6,6,1,1,1,2,1,0,1,20.7840877923089,0,"R_3LdQepujwmoLI5K","25 to 32","NCState",65806,"NHAsian",0.722677513829964,0.0514616131387444,"3","High",1,"NHAsian","0","2","25 to 32","0","1",1,1,1,1,1,5,2,2,1,2,1
"1522",5,1,5,3,5,5,4,5,5,3,70.77,69.34,48.14,68.19,100,48.71,10,0.4,0.3,3,3,6,2,1,1,1,3,0,1,23.4447362932631,0,"R_2uwOKvyF6lbyqcx","18 to 24","NCState",27606,"NHAsian",0.137772404833489,0.504046555817848,"3","High",1,"NHAsian","0","2","18 to 24","1","1",1,1,1,1,1,1,2,2,1,2,1
"1523",1,1,5,4,5,5,2,1,5,5,14.23,65.35,0,0,4.23,45.21,9,3,2,5,5,5,4,4,2,4,1,1,1,34.8965971804456,1,"R_1hWHsyKVi1mD2Ac","18 to 24","NCState",28658,"NHWhite",-0.281832172893082,-1.19286980594388,"2","Low",0,"NHWhite","1","1","18 to 24","1","1",3,1,3,3,2,2,1,4,3,2,3
"1524",5,5,5,5,5,5,5,1,1,1,9.3,19.72,0,40,30.42,28.45,0,0,0,2,2,6,1,1,1,1,1,0,0,28.7595795060107,0,"R_3ozFHY596Qvc5G8","33 to 44","NCState",27607,"NHWhite",-1.82019891339079,-1.18671633683147,"2","Low",0,"NHWhite","1","1","Over 32","0","1",1,1,1,1,1,1,2,3,1,1,1
"1525",4,5,5,5,5,5,2,7,7,7,99.72,98.87,0.14,98.59,32.96,99.58,12,0.3,0.2,1,1,5,1,3,3,3,1,0,0.661322173930444,27.0825922377806,1,"R_1gRQ3tp7mOg0FzD","25 to 32","NCState",NA,"NHAsian",1.68923174058806,1.03415179073065,"3","High",1,"NHAsian","0","2","25 to 32","0","1",2,2,2,1,1,1,1,3,1,2,1
