"","Limit_Outdoor_Active","Limit_Exercise_Home","Limit_Exercise_Gym","Limit_People","Limit_Groups","Limit_Travel","Health_General","COVID_Worry","COVID_Too_Much_Time","COVID_Lot_Time","COVID_Afraid","COVID_Irritable","COVID_Guilty","COVID_Sad","COVID_Preoccupied","COVID_Stressed","Hrs_Screen","Hrs_Outdoor","Hrs_Exercise","Educ_Mom","Educ_Dad","Educ_Self","Income_Relative","Class_Self","Class_Mom","Class_Dad","Park_Use","Infected_Any","Female","BMI","Educ_College_Grad","ResponseId","Age","Source","GIS_ZIP","Ethnoracial_Group","COVID_F2_LostTime","COVID_F1_BadMoods","Type","Classification","Classification_High","Ethnoracial_Group_f","NHWhite_f","Ethnoracial_Group_White1_Asian2","Age_3Groups","Age_18to25","Source_NCSU","Class_Self_group","Class_Mom_group","Class_Dad_group","Income_Relative_group","Educ_Mom_group","Educ_Dad_group","Health_General_group","BMI_group","Hrs_Outdoor_group","Hrs_Screen_group","Hrs_Exercise_group"
"1",2,2,5,5,5,5,3,6,2,7,70.85,71.13,40.42,71.41,70.85,71.27,7.66611705602051,1.41815653828647,0.977603583338902,4,5,5,4,3,4,4,2.82402769315466,1,1,21.9480438960878,1,"R_3O2IXpt8nCMfc7A","25 to 32","Clemson",NA,"NHWhite",0.520082685497915,0.49324659530124,"3","High",1,"NHWhite","1","1","25 to 32","0","0",2,3,3,3,1,2,2,2,2,1,2
"2",1,1,3,3,3,3,4,1,2,2,0,80.85,0,63.1,0,70.56,7.64466721468429,1.5760268852566,0.943206211789569,6,6,5,2,1,1,1,2.83549002583772,0,1,30.6664626185083,1,"R_2ePxcy8sR8W3zt2","18 to 24","Clemson",NA,"NHWhite",-1.43560722826637,-0.558000703868595,"1","Med",0,"NHWhite","1","1","18 to 24","1","0",1,1,1,1,2,5,2,4,2,1,2
"3",3,3,5,5,4,5,2,7,7,7,83.1,57.18,100,100,85.92,100,7.83114681233198,1.21698802775057,0.854060496521434,6,7,5,2,2,2,4,2.08562175464861,0,1,20.4680444390474,1,"R_1gATvPSvmCpZVir","18 to 24","Clemson",NA,"NHWhite",1.68923174058806,1.02779309248579,"3","High",1,"NHWhite","1","1","18 to 24","1","0",1,1,3,1,2,5,1,2,2,1,2
"4",4,2,5,3,5,2,5,2,5,6,37.82,68.77,57.88,87.97,73.35,59.03,7.47512059299668,1.31988526496528,0.977603583338902,6,5,2,4,4,4,4,2.08779810455112,0,1,20.4680444390474,0,"R_3Jk3uvJyViEJIS4","18 to 24","Clemson",NA,"NHWhite",0.109305809859774,0.282768901005263,"3","High",1,"NHWhite","1","1","18 to 24","1","0",3,3,3,3,2,2,2,2,2,1,2
"5",3,1,5,4,5,3,3,6,7,6,45.56,85.67,15.19,76.5,89.97,98.85,7.59294435206691,1.51855139911045,1.08087392517809,5,5,2,4,4,4,4,2.14164696794001,0,0,20.9983276499886,0,"R_1qaGlIpYGIezYnP","18 to 24","Clemson",NA,"NHWhite",1.2980937578352,0.80196388138896,"3","High",1,"NHWhite","1","1","18 to 24","1","0",3,3,3,3,2,2,2,2,2,1,3
"6",4,2,4,2,3,3,4,5,5,5,58.39,78.71,24.84,82.58,67.1,72.58,7.716967048719,1.31988526496528,0.977603583338902,5,5,3,4,4,4,4,2.16807169602233,0,1,26.631401747652,0,"R_20OlmXgiqzCchow","18 to 24","Clemson",NA,"NHWhite",0.519421522595107,0.520318736642084,"3","High",1,"NHWhite","1","1","18 to 24","1","0",3,3,3,3,2,2,2,3,2,1,2
"7",4,5,5,4,5,4,3,5,4,5,59.6,49.57,58.17,58.74,59.31,47.56,8.82901931597436,0.669347886723558,0.508897737141918,5,5,3,3,3,3,3,1.99906566002126,0,0,18.2457354534086,0,"R_bCMgDbnYScJGk6J","18 to 24","Clemson",NA,NA,0.325654396351488,-0.103558991782108,"1","Med",0,NA,NA,NA,"18 to 24","1","0",2,2,2,2,2,2,2,2,1,2,2
"8",3,2,5,5,5,4,4,5,5,5,59.03,65.04,21.49,73.64,89.11,68.48,7.55395558002006,1.3536325659625,1.08087392517809,6,5,3,4,4,4,4,2.14164696794001,0,1,19.4927764776765,0,"R_w4tq6WXdsnsbb0Z","18 to 24","Clemson",NA,"NHWhite",0.519421522595107,0.495906305124079,"3","High",1,"NHWhite","1","1","18 to 24","1","0",3,3,3,3,2,2,2,2,2,1,3
"9",4,4,5,4,5,4,4,2,2,5,29.35,100,26.77,31.61,68.71,22.9,8.77699800722236,0.669347886723558,0.508897737141918,5,5,3,4,3,3,3,1.9786113055404,0,1,27.457132784088,0,"R_27NnTuuUh6bWGXH","18 to 24","Clemson",NA,"NHWhite",-0.662820127751891,-0.285064097376328,"1","Med",0,"NHWhite","1","1","18 to 24","1","0",2,2,2,3,2,2,2,3,1,2,2
"10",2,2,2,3,5,4,4,5,3,5,61.27,29.58,50.14,69.44,56.62,75.35,7.49906210098466,1.39646870759864,0.977603583338902,3,5,3,4,4,5,3,2.81301296161754,0,0,20.7503005283788,0,"R_6RPNB5lkyyYzhOF","18 to 24","Clemson",NA,"NHWhite",0.131887270107869,0.0367739116752339,"1","Med",0,"NHWhite","1","1","18 to 24","1","0",3,3,2,3,1,2,2,2,2,1,2
"11",4,2,3,3,4,4,4,3,3,3,61.29,65.16,48.06,53.55,52.58,42.26,7.42384281521891,0.999181432212669,0.597943039946026,5,5,3,4,4,4,3,2.07500474904804,0,0,25.1046262854279,0,"R_1QLuaC9h8GrzdWa","18 to 24","Clemson",NA,"NHWhite",-0.650388695397843,-0.109711232958356,"1","Med",0,"NHWhite","1","1","18 to 24","1","0",3,3,2,3,2,2,2,3,1,1,2
"12",1,1,3,3,4,4,4,2,5,2,0,91.41,0,19.86,60.85,60.85,7.42333317853835,1.51855139911045,0.977603583338902,6,5,3,4,3,3,3,2.912315913459,0,1,25.3725059020624,0,"R_rqFqqSGqHRBEKLD","18 to 24","Clemson",NA,"NHWhite",-0.653992425663461,-0.4198954925444,"1","Med",0,"NHWhite","1","1","18 to 24","1","0",2,2,2,3,2,2,2,3,2,1,2
"13",1,1,4,3,3,3,4,2,2,2,17.77,38.97,1.15,37.82,41.55,28.37,7.10431593715904,1.51855139911045,0.977603583338902,4,5,3,4,4,4,4,2.912315913459,1,0,22.9573553024657,0,"R_PBYp9JwDnx76TxT","18 to 24","Clemson",NA,"NHWhite",-1.23529380439432,-0.920713770123623,"2","Low",0,"NHWhite","1","1","18 to 24","1","0",3,3,3,3,1,2,2,2,2,1,2
"14",4,4,4,3,4,2,5,2,5,5,27.74,100,21.94,8.06,59.68,45.81,8.73513706489211,0.669347886723558,0.508897737141918,6,3,3,4,4,4,4,2.14587288983111,0,1,22.7099589864138,0,"R_SMNiKzBLRXCKCDn","18 to 24","Clemson",NA,"NHWhite",-0.0815187490210346,-0.365736650920369,"1","Med",0,"NHWhite","1","1","18 to 24","1","0",3,3,3,3,2,1,2,2,1,2,2
"15",1,3,5,3,4,5,5,7,6,6,87.68,68.48,9.17,93.7,53.87,88.54,7.39744017065914,1.24098534154788,0.854060496521434,5,5,2,4,3,3,4,2.91194722073754,0,1,26.6250984572975,0,"R_abpDWMQssyEbUf7","18 to 24","Clemson",NA,"NHWhite",1.30464005546363,0.766857526369504,"3","High",1,"NHWhite","1","1","18 to 24","1","0",2,2,3,3,2,2,2,3,2,1,2
"16",2,3,2,3,5,4,4,4,4,3,35.21,80.28,0,33.94,32.54,57.46,7.30558821438676,1.26267317223571,0.931412153677793,3,5,5,4,4,3,4,2.88983884923882,1,0,25.1046262854279,1,"R_AtIq97uCJm9cf6h","18 to 24","Clemson",NA,"NHWhite",-0.256308145282177,-0.374673213403844,"1","Med",0,"NHWhite","1","1","18 to 24","1","0",3,2,3,3,1,2,2,3,2,1,2
"17",1,3,4,4,4,3,5,5,6,6,61.32,69.34,40.4,73.35,64.76,77.36,7.39744017065914,1.24098534154788,0.854060496521434,4,2,3,5,4,4,4,2.8916390751119,0,1,19.6625496803526,0,"R_3ISN3WXWr7LcCdS","18 to 24","Clemson",NA,NA,0.904013207719535,0.425367453103879,"3","High",1,NA,NA,NA,"18 to 24","1","0",3,3,3,3,1,1,2,2,2,1,2
"18",1,1,1,2,1,2,5,1,1,1,0,100,0,0,22.06,0,7.2381370440587,1.7668964281221,1.00658232827817,5,5,3,5,4,4,4,2.84463262740384,0,0,21.6178726346741,0,"R_2c2CCbAigVyMmXp","18 to 24","Clemson",NA,"NHWhite",-1.82019891339079,-1.26010414519954,"2","Low",0,"NHWhite","1","1","18 to 24","1","0",3,3,3,3,2,2,2,2,2,1,3
"19",1,1,4,1,1,1,4,1,1,4,5.77,81.13,4.08,75.07,8.03,8.31,7.1708023617424,1.78858425880993,1.00658232827817,2,6,6,3,3,3,3,2.912315913459,0,0,21.6178726346741,0,"R_dds5GcR3oyoJpQt","18 to 24","Clemson",NA,"NHWhite",-1.24772523674837,-0.83697795504104,"2","Low",0,"NHWhite","1","1","18 to 24","1","0",2,2,2,2,1,5,2,2,2,1,3
"20",2,2,5,4,5,5,5,3,4,4,69.91,71.06,0,69.34,38.4,57.88,7.30558821438676,1.36820041491572,0.977603583338902,5,5,3,5,4,4,4,2.945987898513,0,1,21.7893287026243,0,"R_323oHTmh9UgrOIS","18 to 24","Clemson",NA,"NHWhite",-0.265797010273415,0.124682587126908,"1","Med",0,"NHWhite","1","1","18 to 24","1","0",3,3,3,3,2,2,2,2,2,1,2
"21",4,2,4,2,3,3,4,3,3,2,11.29,8.06,27.1,63.23,20,7.74,7.42384281521891,1.33180656126158,0.977603583338902,6,6,5,4,4,4,4,2.36849654021594,0,0,25.8423671224709,1,"R_3oMJLHAwTTB7421","18 to 24","Clemson",NA,"NHWhite",-0.841213254278652,-1.31815847130714,"2","Low",0,"NHWhite","1","1","18 to 24","1","0",3,3,3,3,2,5,2,3,2,1,2
"23",4,3,4,4,4,4,2,2,1,2,16.45,4.84,0,10.65,9.03,9.03,7.95324632921342,0.775576656570463,0.543928027880672,2,3,3,1,1,1,1,2.0935994287115,0,0,16.7364175236186,0,"R_AjjDBsIyYsS8Hlf","18 to 24","Clemson",NA,NA,-1.42906093063794,-1.7663006116739,"2","Low",0,NA,NA,NA,"18 to 24","1","0",1,1,1,1,1,1,1,1,1,1,2
"24",4,3,3,5,5,5,5,2,2,5,10,56.45,35.16,17.42,48.06,14.84,8.03415871241029,1.18557665657046,0.854060496521434,5,5,3,4,3,3,3,2.14424637433221,0,1,24.1289954769259,0,"R_1jxfXWc91rQeoYa","18 to 24","Clemson",NA,"NHBlack",-0.662820127751891,-1.05869873750835,"2","Low",0,"NHBlack","0","0","18 to 24","1","0",2,2,2,3,2,2,2,2,2,2,2
"25",3,5,5,3,3,3,5,7,7,7,70.7,62.25,81.83,91.97,62.54,100,8.21508756465948,1.19814919991174,0.81903020578268,5,5,3,4,4,4,4,2.16910448509072,0,1,18.5997091570903,0,"R_2VIVGHPKg05zbNq","18 to 24","Clemson",NA,"NHWhite",1.68923174058806,0.737272694253302,"3","High",1,"NHWhite","1","1","18 to 24","1","0",3,3,3,3,2,2,2,2,2,2,2
"26",5,1,5,5,5,5,5,6,6,7,84.19,80.97,82.26,77.74,78.39,84.84,8.38076280481543,1.07080420374788,0.85641491726406,5,5,3,1,4,2,4,1.67077308146576,0,0,23.7099248251264,0,"R_Oj0TKc2VVhgX4rf","18 to 24","Clemson",NA,"NHWhite",1.29515119047239,0.867915577107413,"3","High",1,"NHWhite","1","1","18 to 24","1","0",3,1,3,1,2,2,2,2,2,2,2
"27",1,2,5,3,4,4,4,6,7,7,100,100,66.77,79.68,87.42,100,7.43930111298938,1.43225636305696,1.08087392517809,5,5,3,4,4,4,4,2.81517846458092,0,1,30.9995152618171,0,"R_3KoxpUY3xyvPLwp","18 to 24","Clemson",NA,"NHWhite",1.48891831671601,1.3167487797131,"3","High",1,"NHWhite","1","1","18 to 24","1","0",3,3,3,3,2,2,2,4,2,1,3
"28",3,3,5,4,4,4,4,2,2,2,17.04,19.58,0,18.73,10.85,22.54,7.42333317853835,1.19814919991174,0.854060496521434,5,7,3,4,4,4,4,2.34207181213362,0,0,22.3152233648248,0,"R_2s6cy3KpSobIZlY","18 to 24","Clemson",NA,"NHWhite",-1.23529380439432,-1.48090853174218,"2","Low",0,"NHWhite","1","1","18 to 24","1","0",3,3,3,3,2,5,2,2,2,1,2
"29",2,2,2,3,3,3,4,4,5,5,39.86,100,18.31,60.7,50,41.41,7.14617687948928,1.40398807037403,0.977603583338902,5,5,3,4,4,4,4,2.88983884923882,0,1,28.2891671108786,0,"R_1FznNsUjGzO7WRH","18 to 24","Clemson",NA,"NHWhite",0.31910809872306,0.00787025908934682,"1","Med",0,"NHWhite","1","1","18 to 24","1","0",3,3,3,3,2,2,2,3,2,1,2
"30",1,1,1,3,3,3,4,2,2,3,6.62,13.94,0,8.31,8.73,8.17,7.42333317853835,1.51855139911045,0.977603583338902,5,5,3,3,3,3,3,2.78848357812966,0,0.445854168376961,18.1946568971263,0,"R_3QXkIFlnqsVj0rF","18 to 24","Clemson",NA,NA,-1.04446924551351,-1.799939512617,"2","Low",0,NA,NA,NA,"18 to 24","1","0",2,2,2,2,2,2,2,2,2,1,2
"31",3,3,3,3,3,4,4,3,5,4,50,60.7,40,59.58,29.58,39.72,7.10431593715904,1.19814919991174,0.854060496521434,5,5,3,5,4,4,4,2.20871410505811,0,1,23.7770475540951,0,"R_3qJ0CE3Vb4saowR","18 to 24","Clemson",NA,"Hisp",-0.0720298840297964,-0.371871726927654,"1","Med",0,"Hisp","0","0","18 to 24","1","0",3,3,3,3,2,2,2,2,2,1,2
"32",1,1,2,3,2,2,4,2,5,5,28.65,78.51,18.34,68.77,58.74,37.54,6.91911980267939,1.51855139911045,0.977603583338902,5,5,3,5,4,4,4,2.96846496273318,0,0,21.1092214265494,0,"R_1Edl9QutzrSafRw","18 to 24","Clemson",NA,"NHWhite",-0.0815187490210346,-0.130946149019622,"1","Med",0,"NHWhite","1","1","18 to 24","1","0",3,3,3,3,2,2,2,2,2,1,2
"33",1,1,3,3,3,1,2,5,6,5,24.64,71.35,8.02,72.78,81.95,78.22,7.9669540807977,1.93681330387236,1.00658232827817,6,5,5,5,4,4,4,2.8916390751119,0,1,25.8423671224709,1,"R_31meQU9UK1beqHb","18 to 24","Clemson",NA,"NHWhite",0.713188648838726,0.30194945051768,"3","High",1,"NHWhite","1","1","18 to 24","1","0",3,3,3,3,2,2,1,3,2,1,3
"34",1,1,1,2,2,1,4,4,6,6,0,65.63,0,49.72,74.65,70.28,7.71540273650099,1.51855139911045,0.943206211789569,1,6,3,1,1,1,3,2.57139551822374,1,0.670521566882647,17.1512424090714,0,"R_24tMzA0oAxEpRvs","18 to 24","Clemson",NA,"NHBlack",0.703699783847488,-0.206067041594887,"3","High",1,"NHBlack","0","0","18 to 24","1","0",1,1,2,1,1,5,2,1,2,1,2
"35",1,1,1,1,1,1,5,2,3,3,11.29,69.35,0,0.32,97.42,1.61,7.48981960312171,1.7668964281221,1.10985267011736,6,6,3,4,4,4,4,2.78848357812966,0,0,22.4982081964164,0,"R_3U8BF3u8qhhRZUB","18 to 24","Clemson",NA,"NHWhite",-0.85070211926989,-0.813566374713795,"1","Med",0,"NHWhite","1","1","18 to 24","1","0",3,3,3,3,2,5,2,2,2,1,3
"36",1,1,5,2,4,3,3,4,4,5,26.36,81.09,11.46,75.36,71.06,24.64,7.19819818824129,1.51855139911045,0.977603583338902,4,4,2,3,3,3,3,2.912315913459,0,1,22.5963408767956,0,"R_3ML1ShF2mna7zyN","18 to 24","Clemson",NA,"NHWhite",0.125340972479441,-0.0857409734194917,"1","Med",0,"NHWhite","1","1","18 to 24","1","0",2,2,2,2,1,1,2,2,2,1,2
"37",4,2,4,3,4,5,3,2,3,4,34.04,80.38,41.5,69.53,46.29,94.74,7.81084929980125,0.999181432212669,0.597943039946026,5,6,3,4,3,3,4,2.12598573002902,0,1,24.0306789207328,0,"R_SZD6TjRwM4oUf3X","18 to 24","Clemson",NA,NA,-0.659877560389082,0.268186910229181,"1","Med",0,NA,NA,NA,"18 to 24","1","0",2,2,3,3,2,5,2,2,1,1,2
"38",3,2,2,4,4,3,5,3,1,1,0,0,0,6.45,14.52,0,7.42333317853835,1.32536427327957,0.977603583338902,6,5,3,4,3,4,4,2.34318817944323,0,0,22.4285477657088,0,"R_2D6ubrSXb23Km6z","18 to 24","Clemson",NA,"NHWhite",-1.4195720656467,-1.9799418960983,"2","Low",0,"NHWhite","1","1","18 to 24","1","0",2,3,3,3,2,2,2,2,2,1,2
"39",2,2,4,4,4,3,4,2,5,6,17.85,0.01,2.97,72.21,65.71,18.64,7.10431593715904,1.36820041491572,0.977603583338902,6,6,3,4,4,4,4,2.88983884923882,0,0,25.8426960878286,0,"R_3kqbuCakw5IdY1b","18 to 24","Clemson",NA,"NHWhite",0.109305809859774,-0.833900836645414,"1","Med",0,"NHWhite","1","1","18 to 24","1","0",3,3,3,3,2,5,2,3,2,1,2
"40",4,2,5,3,2,5,4,5,6,6,60.14,29.01,0,60.56,39.44,81.13,7.716967048719,0.970913139529742,0.597943039946026,6,6,2,4,3,3,3,2.10993633691631,1,1,19.1367895161826,0,"R_T6pVk8cGg6j01VL","18 to 24","Clemson",NA,"NHWhite",0.904013207719535,-0.126876443173019,"3","High",1,"NHWhite","1","1","18 to 24","1","0",2,2,2,3,2,5,2,2,1,1,2
"41",4,2,2,4,4,4,4,5,5,6,74.52,71.94,25.81,70.65,56.45,100,7.81858897904453,0.999181432212669,0.597943039946026,3,5,3,5,5,5,5,2.03539512908065,0,0,24.6714025422797,0,"R_dhblKI7ybNLQIwh","18 to 24","Clemson",NA,"NHWhite",0.710246081475916,0.630102776066608,"3","High",1,"NHWhite","1","1","18 to 24","1","0",3,3,3,3,1,2,2,2,1,1,2
"42",1,1,5,4,4,2,4,5,6,6,29.72,100,16.34,38.87,36.34,40.56,7.10431593715904,1.51855139911045,0.977603583338902,5,5,3,4,4,4,4,2.912315913459,0,1,25.8423671224709,0,"R_1hEV3BwgUCkHfJX","18 to 24","Clemson",NA,"NHWhite",0.904013207719535,-0.337892883083911,"3","High",1,"NHWhite","1","1","18 to 24","1","0",3,3,3,3,2,2,2,3,2,1,2
"43",2,1,5,2,4,4,3,5,6,5,100,90.28,80.7,100,71.69,100,7.79019697534138,1.60429517793953,0.985891560708068,6,5,5,4,3,4,4,2.77754355101277,1,1,41.6017163395273,1,"R_1CxXlBnG5kMouRm","18 to 24","Clemson",NA,"NHWhite",0.713188648838726,1.28017023482687,"3","High",1,"NHWhite","1","1","18 to 24","1","0",2,3,3,3,2,2,2,4,2,1,2
"44",2,1,1,4,5,3,4,4,6,5,76.45,65.81,52.58,35.16,57.42,81.29,7.39744017065914,1.86752352454599,1.00658232827817,5,6,3,4,4,3,2,2.6891806262882,1,1,21.4125196156294,0,"R_1lhrdfoeSgvKLoq","18 to 24","Clemson",NA,"NHWhite",0.512875224966679,0.202426096171351,"3","High",1,"NHWhite","1","1","18 to 24","1","0",3,2,1,3,2,5,2,2,2,1,3
"45",1,1,1,5,3,1,5,5,7,7,39.58,40,0,100,69.72,60.42,8.16548979216936,1.51855139911045,0.977603583338902,2,5,3,5,5,5,5,2.74379513631332,0,0,26.872859790164,0,"R_2B8qqMGMxDLaxlt","18 to 24","Clemson",NA,"NHWhite",1.28860489284396,0.163701626837959,"3","High",1,"NHWhite","1","1","18 to 24","1","0",3,3,3,3,1,2,2,3,2,2,2
"46",4,2,5,4,4,5,4,2,5,2,37.82,42.98,2.87,16.62,37.82,69.63,7.85829373028263,1.26061736488185,0.943206211789569,2,4,2,3,1,1,1,2.13525889052579,0,1,27.4350548701097,0,"R_3qhR5niRt1egKQx","18 to 24","Clemson",NA,"NHBlack",-0.653992425663461,-0.617188720003619,"1","Med",0,"NHBlack","0","0","18 to 24","1","0",1,1,1,2,1,1,2,3,2,1,2
"47",3,3,2,2,4,4,4,1,1,1,3.15,100,1.15,53.01,16.33,18.91,7.10431593715904,1.19814919991174,0.854060496521434,5,5,3,4,4,4,4,2.16846323240433,0,1,24.2103652251382,0,"R_2rHqlGXNiuRprRg","18 to 24","Clemson",NA,"NHWhite",-1.82019891339079,-0.742919656386574,"2","Low",0,"NHWhite","1","1","18 to 24","1","0",3,3,3,3,2,2,2,2,2,1,2
"48",3,4,5,4,4,4,5,2,3,5,37.42,100,17.74,81.94,26.13,48.71,8.2991061652993,1.19814919991174,0.81903020578268,4,5,3,4,1,4,4,2.23599056960076,0,1,22.797740554061,0,"R_31WUrCRcfO2P3z0","18 to 24","Clemson",NA,"NHWhite",-0.469053001508273,0.0234996679312489,"1","Med",0,"NHWhite","1","1","18 to 24","1","0",1,3,3,3,1,2,2,2,2,2,2
"49",5,3,5,5,5,5,3,4,5,5,38.39,100,18.06,73.23,66.45,76.13,8.62197191118516,0.599747598385658,0.543928027880672,3,2,3,3,3,2,3,1.73575991112699,0,1,27.3972066353163,0,"R_sj2dVobsoSfbvl7","18 to 24","Clemson",NA,"NHBlack",0.31910809872306,0.477475769275705,"3","High",1,"NHBlack","0","0","18 to 24","1","0",2,1,2,2,1,1,2,3,1,2,2
"50",5,5,5,5,5,4,5,4,3,3,48.39,47.74,58.39,48.39,68.06,59.68,9.46754202661826,0.599747598385658,0.508897737141918,5,5,3,5,3,3,3,1.77972702146875,0,1,23.4033530509669,0,"R_2w45WnDoHRJcgva","18 to 24","Clemson",NA,"NHBlack",-0.450075271525796,-0.117881457861978,"1","Med",0,"NHBlack","0","0","18 to 24","1","0",2,2,2,3,2,2,2,2,1,2,2
"51",1,1,2,4,4,5,4,6,4,6,70.2,82.23,63.32,100,5.73,100,7.65445378192889,1.54681969179338,0.977603583338902,5,6,2,1,4,4,4,2.7346525347472,0,1,24.3276472712115,0,"R_7X2KuAyELi2vd6x","18 to 24","Clemson",NA,"NHWhite",0.716792379104344,0.50787916882235,"3","High",1,"NHWhite","1","1","18 to 24","1","0",3,3,3,1,2,5,2,2,2,1,2
"52",1,1,5,4,5,5,4,2,2,5,40.97,0,0,61.29,27.42,28.39,7.30558821438676,1.51855139911045,0.977603583338902,6,6,2,4,4,4,4,2.912315913459,0,1,23.0805481812984,0,"R_OdKFPkfoeQjw9l7","18 to 24","Clemson",NA,"NHWhite",-0.662820127751891,-0.959330507115386,"2","Low",0,"NHWhite","1","1","18 to 24","1","0",3,3,3,3,2,5,2,2,2,1,2
"53",2,3,4,4,4,5,4,6,5,5,60.46,93.7,27.79,71.63,68.19,71.06,7.39744017065914,1.26267317223571,0.931412153677793,5,5,5,4,4,4,4,2.81301296161754,0,1,21.7992587352362,1,"R_emopmnk3VkkWw9j","18 to 24","Clemson",NA,"NHWhite",0.719734946467154,0.55745527409237,"3","High",1,"NHWhite","1","1","18 to 24","1","0",3,3,3,3,2,2,2,2,2,1,2
"54",3,1,4,3,4,5,5,4,2,5,48.71,41.26,61.89,70.77,47.28,54.73,7.10431593715904,1.56850752248121,0.977603583338902,5,7,5,4,4,4,4,2.25969508603909,0,1,22.150882360996,1,"R_2OHWlo0tuH0R7fX","18 to 24","Clemson",NA,"NHWhite",-0.262193280007797,-0.189353743521126,"1","Med",0,"NHWhite","1","1","18 to 24","1","0",3,3,3,3,2,5,2,2,2,1,2
"55",5,1,5,3,3,3,4,5,3,5,80.23,82.52,0,84.24,30.95,83.67,7.88127765253807,1.07080420374788,0.741827643615129,5,6,6,5,4,2,4,1.77278937950922,0,1,22.150882360996,0,"R_3JlmW1iUYtVJdia","18 to 24","Clemson",NA,"NHWhite",0.131887270107869,0.532329156209597,"3","High",1,"NHWhite","1","1","18 to 24","1","0",3,1,3,3,2,5,2,2,2,1,2
"56",1,1,5,4,4,2,5,1,1,1,0,79.03,0,0,0,30.65,7.42333317853835,1.54023922979829,0.977603583338902,4,3,6,4,4,4,4,2.912315913459,0,1,22.4649268233448,0,"R_33kcP7yltZHG4t8","33 to 44","Clemson",NA,"NHWhite",-1.82019891339079,-1.34246089133336,"2","Low",0,"NHWhite","1","1","Over 32","0","0",3,3,3,3,1,1,2,2,2,1,2
"57",3,1,5,4,5,5,3,5,7,6,71.35,37.82,26.36,56.45,72.78,78.8,7.59294435206691,1.54681969179338,0.943206211789569,6,5,4,2,2,2,2,2.07411963074357,0,0,25.3965743033527,0,"R_1eqIG2rae8ubzt4","18 to 24","Clemson",NA,"NHWhite",1.09778033396315,0.220697723336894,"3","High",1,"NHWhite","1","1","18 to 24","1","0",1,1,1,1,2,2,2,3,2,1,2
"58",1,1,1,4,4,3,4,6,6,7,63.66,8.65,56.65,41.6,30.25,66.97,7.27951059883874,1.86752352454599,1.00658232827817,2,2,3,4,3,3,3,2.71165769050838,0,0,26.544442068476,0,"R_DhJpvhSr4B2KDdv","25 to 32","Clemson",NA,"NHWhite",1.29515119047239,-0.56321276951154,"3","High",1,"NHWhite","1","1","25 to 32","0","0",2,2,2,3,1,1,2,3,2,1,3
"59",2,4,3,2,3,4,3,5,5,5,74.23,32.68,40.85,74.79,64.65,78.31,8.41917400683285,1.26267317223571,0.931412153677793,4,5,6,3,3,3,2,2.81301296161754,0,1,23.4930610204281,0,"R_1QGIqlgnbmQi0T3","18 to 24","Clemson",NA,"NHWhite",0.519421522595107,0.276586296640333,"3","High",1,"NHWhite","1","1","18 to 24","1","0",2,2,1,2,1,2,2,2,2,2,2
"60",3,2,5,4,5,5,5,4,5,5,78.06,34.52,45.48,79.35,85.16,62.58,7.15559371493682,1.3536325659625,0.977603583338902,5,5,3,4,3,3,3,2.15398012336475,1,0,19.9357941248964,0,"R_3qD5Nxg28rYNUMl","18 to 24","Clemson",NA,"NHWhite",0.31910809872306,0.386525297896423,"3","High",1,"NHWhite","1","1","18 to 24","1","0",2,2,2,3,2,2,2,2,2,1,2
"61",3,1,5,4,5,5,5,4,5,6,70.44,61.71,0,68.63,69.95,44.75,7.30558821438676,1.54023922979829,0.977603583338902,4,5,6,3,2,3,3,2.1812565879074,1,0,20.751741621547,0,"R_esUAZnIBYpfaqgF","33 to 44","Clemson",NA,"NHWhite",0.509932657603869,0.194498268718392,"3","High",1,"NHWhite","1","1","Over 32","0","0",1,2,2,2,1,2,2,2,2,1,2
"62",2,2,5,4,4,4,4,3,5,5,39.86,59.2786258242355,85.21,65.92,58.0349644957676,55.49,7.10431593715904,1.41815653828647,0.977603583338902,4,2,5,4,4,4,4,2.88983884923882,0,1,22.8892451063625,1,"R_2wAJhjZ5iUtERML","25 to 32","Clemson",NA,"NHWhite",0.118794674851013,-0.0755514518770238,"1","Med",0,"NHWhite","1","1","25 to 32","0","0",3,3,3,3,1,1,2,2,2,1,2
"63",1,1,4,3,3,1,4,3,6,5,39.72,73.66,3.38,24.23,10.56,39.72,7.57994759621536,1.54023922979829,0.977603583338902,6,5,5,4,3,3,3,2.912315913459,0,1,22.150882360996,1,"R_XMrAxdGweLbkMVP","18 to 24","Clemson",NA,"NHWhite",0.312561801094631,-0.760772892886462,"1","Med",0,"NHWhite","1","1","18 to 24","1","0",2,2,2,3,2,2,2,2,2,1,2
"64",3,4,5,4,4,3,3,5,3,5,59.03,81.66,68.48,88.54,81.66,73.64,8.49408818900091,1.17576330478271,0.81903020578268,1,1,5,1,1,1,1,2.23088972452696,0,0,33.9057198176125,1,"R_1HnqG5Exd92eKmh","33 to 44","Clemson",NA,"NHAsian",0.131887270107869,0.707832876577675,"3","High",1,"NHAsian","0","2","Over 32","0","0",1,1,1,1,1,1,2,4,2,2,2
